scientificname,commonname,stockid,areaname,country,year,SSB,TC,scaled_catch,scaled_biomass
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1986,491000,196000,0.39918533604887985,1
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1987,392000,194000,0.395112016293279,0.7983706720977597
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1988,216000,118000,0.24032586558044808,0.439918533604888
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1989,252000,146000,0.2973523421588595,0.5132382892057027
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1990,275000,136000,0.2769857433808554,0.560081466395112
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1991,297000,221000,0.45010183299389,0.604887983706721
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1992,237000,202000,0.41140529531568226,0.48268839103869654
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1993,161000,152000,0.3095723014256619,0.32790224032586557
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1994,160000,140000,0.285132382892057,0.3258655804480652
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1995,198000,187000,0.38085539714867617,0.40325865580448067
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,1999,66000,50600,0.10305498981670061,0.13441955193482688
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2000,74300,47200,0.09613034623217923,0.15132382892057025
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2006,67100,56200,0.11446028513238289,0.13665987780040734
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2007,62100,50900,0.10366598778004073,0.1264765784114053
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2012,66400,51500,0.10488798370672098,0.13523421588594706
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2013,78400,49900,0.10162932790224033,0.15967413441955194
Merluccius hubbsi,Argentine hake,ARGHAKENARG,Northern Argentina,Argentina,2014,100000,41800,0.08513238289205703,0.20366598778004075
